full_date,date,weekday,time,mood,activities,note_title,note
2024-04-22,22 Apr,Monday,11:02,good,unsure | good sleep | walk,"",""
2024-04-21,21 Apr,Sunday,18:12,good,tired | eat healthy,"",""
2024-04-21,21 Apr,Sunday,11:26,good,good sleep | eat healthy | walk | no sweets | no soda,"",""
2024-04-20,20 Apr,Saturday,20:48,good,relaxed | walk,"",""
2024-04-19,19 Apr,Friday,18:08,good,excited,"",""
2024-04-19,19 Apr,Friday,10:13,meh,unsure | bad sleep,"",""
2024-04-18,18 Apr,Thursday,20:33,meh,unsure | no sweets | no soda,"",""
2024-04-18,18 Apr,Thursday,16:03,good,focus,"",""
2024-04-17,17 Apr,Wednesday,23:59,meh,stressed,"",""
2024-04-17,17 Apr,Wednesday,14:08,awful,anxious | angry | stressed | sad | desperate,"",""
2024-04-17,17 Apr,Wednesday,11:18,bad,anxious | stressed | sad,"",""
2024-04-16,16 Apr,Tuesday,18:21,bad,stressed | sad,"",""
2024-04-15,15 Apr,Monday,20:07,meh,tired | unsure | bad sleep | eat healthy | homemade | no sweets | no soda | meditation | make list,"",""
2024-04-14,14 Apr,Sunday,22:17,good,excited | sleep early,"",""
2024-04-12,12 Apr,Friday,14:48,good,bored,"",""
2024-04-12,12 Apr,Friday,14:47,meh,unsure | bored | good sleep | eat healthy | drink water | homemade | no sweets | no soda | meditation,"",""
2024-04-10,10 Apr,Wednesday,18:50,meh,unsure | bored | sad | bad sleep | eat healthy | walk | homemade | no sweets | no soda | meditation,"",""
2024-04-07,7 Apr,Sunday,10:36,meh,bored | bad sleep | eat healthy | walk | meditation | start early | make list,"",""
2024-03-30,30 Mar,Saturday,22:06,meh,unsure | bored | medium sleep | eat healthy | walk | read | homemade | make list,"",""
